Doctor_Name,Specialization,Experience,Locality,City,Hospital_Name,Consultation_Fee,Recommendation,Working_Hours,Timing_Category,Time_Duration
Dr. Vandana Hegde,Infertility Specialist,23 years experience overall,"Madhapur,",Hyderabad,Hegde Hospital,₹800,93%,11:00 AM - 7:00 PM,Morning,8.0
Dr. B C Mounica,Gynecologist/Obstetrician,10 years experience overall,"Madhapur,",Hyderabad,Hegde Hospital,₹600,,10:00 AM - 8:00 PM,Morning,10.0
Dr. Jasmine Ramesh Salkar,Gynecologist/Obstetrician,23 years experience overall,"Madhapur,",Hyderabad,Hegde Hospital,₹800,95%,24x7,24x7,24.0
Dr. Soumya H R,Reproductive Endocrinologist (Infertility),8 years experience overall,"Madhapur,",Hyderabad,Hegde Hospital,₹600,,8:00 AM - 4:00 PM,Morning,8.0
Dr. Akshita Agarwal,Gynecologist/Obstetrician,9 years experience overall,"Madhapur,",Hyderabad,Hegde Hospital,₹600,100%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Prashant Hegde,General Surgeon,25 years experience overall,"Madhapur,",Hyderabad,Hegde Hospital,₹750,96%,24x7,24x7,24.0
Dr. Addala Pavan Kumar,Oncologist,19 years experience overall,"Madhapur,",Hyderabad,Hegde Hospital,₹800,,11:00 AM - 7:00 PM,Morning,8.0
Ms. Sreevani Y,Acupressure,6 years experience overall,"Madhapur,",Hyderabad,Hegde Hospital,₹500,100%,10:00 AM - 8:00 PM,Morning,10.0
Ms. Jyoshna Diwan,Acupuncturist,3 years experience overall,"Madhapur,",Hyderabad,Hegde Hospital,₹500,100%,8:00 AM - 4:00 PM,Morning,8.0
Dr. S Chandana,Pediatrician,12 years experience overall,"Kukatpally,",Hyderabad,Vignesh Nursing Home,₹500,100%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Balajiprasad,General Physician,33 years experience overall,"Kukatpally,",Hyderabad,Vignesh Nursing Home,₹500,67%,9:00 AM - 6:00 PM,Morning,9.0
Dr. K. Ravindranath,General Physician,23 years experience overall,"Kukatpally,",Hyderabad,Vignesh Nursing Home,₹500,60%,11:00 AM - 7:00 PM,Morning,8.0
Dr. Rama Sanjay Y,Urologist,35 years experience overall,"Kukatpally,",Hyderabad,Vignesh Nursing Home,₹500,75%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Raja Rajeswari,Gynecologist/Obstetrician,47 years experience overall,"Kukatpally,",Hyderabad,Vignesh Nursing Home,₹500,90%,10:00 AM - 8:00 PM,Morning,10.0
Dr. R Kartheek,Orthopedist,16 years experience overall,"Kukatpally,",Hyderabad,Vignesh Nursing Home,Free Consultation,90%,8:00 AM - 4:00 PM,Morning,8.0
Dr. P.J. Vidya Sagar Rao,General Surgeon,26 years experience overall,"Kukatpally,",Hyderabad,Vignesh Nursing Home,₹500,,24x7,24x7,24.0
Dr. Sruhya Madireddy,Gynecologist/Obstetrician,12 years experience overall,"Kukatpally,",Hyderabad,Vignesh Nursing Home,₹600,,24x7,24x7,24.0
Dr. Karanam Madhuri,General Physician,7 years experience overall,"Medchal,",Hyderabad,Sankhya Hospitals,₹300,,24x7,24x7,24.0
Dr. Maitrayee Chennu,Gynecologist/Obstetrician,9 years experience overall,"Medchal,",Hyderabad,Sankhya Hospitals,₹300,100%,11:00 AM - 7:00 PM,Morning,8.0
Dr. Kallepalli Divya,Ear-Nose-Throat (ENT) Specialist,6 years experience overall,"Medchal,",Hyderabad,Sankhya Hospitals,₹300,33%,11:00 AM - 7:00 PM,Morning,8.0
Dr. Suchithra Lakshmi Gadepalli,General Surgeon,13 years experience overall,"Medchal,",Hyderabad,Sankhya Hospitals,₹300,100%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Deepti V,Pediatrician,16 years experience overall,"Medchal,",Hyderabad,Sankhya Hospitals,₹300,33%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Rangu Aswini,Orthopedist,6 years experience overall,"Medchal,",Hyderabad,Sankhya Hospitals,₹300,,24x7,24x7,24.0
Dr. Jaichitra Suresh,General Physician,33 years experience overall,"Vadapalani,",Chennai,SIMS Hospital,₹1000,100%,10:00 AM - 8:00 PM,Morning,10.0
Dr. R Sundararaman,General Physician,42 years experience overall,"Vadapalani,",Chennai,SIMS Hospital,₹700,86%,8:00 AM - 4:00 PM,Morning,8.0
Dr. K Thiruppathi,General Physician,20 years experience overall,"Vadapalani,",Chennai,SIMS Hospital,₹600,88%,8:00 AM - 4:00 PM,Morning,8.0
Dr. Suresh Kumar D,Infectious Diseases Physician,29 years experience overall,"Vadapalani,",Chennai,SIMS Hospital,₹1000,67%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Rina K,General Physician,20 years experience overall,"Vadapalani,",Chennai,SIMS Hospital,₹1000,,24x7,24x7,24.0
Dr. Nishanth Sampath,General Physician,14 years experience overall,"Vadapalani,",Chennai,SIMS Hospital,₹1000,,24x7,24x7,24.0
Dr. Rithesh R Nair,Neurologist,28 years experience overall,"Vadapalani,",Chennai,SIMS Hospital,₹800,100%,8:00 AM - 4:00 PM,Morning,8.0
Dr. Mithun Prasad.V,Psychiatrist,13 years experience overall,"Vadapalani,",Chennai,SIMS Hospital,₹1000,96%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Prasad G N,Cardiologist,36 years experience overall,"Vadapalani,",Chennai,SIMS Hospital,₹1000,100%,8:00 AM - 4:00 PM,Morning,8.0
Dr. M Ram Prabahar,Nephrologist,23 years experience overall,"Vadapalani,",Chennai,SIMS Hospital,₹800,100%,8:00 AM - 4:00 PM,Morning,8.0
Dr. T V Ashokan,Psychiatrist,45 years experience overall,"Tondiarpet,",Chennai,Apollo Hospital,₹400,63%,11:00 AM - 7:00 PM,Morning,8.0
